ID,Workout,Video,How To,Description,Age Range,Gender,Weight Range (kg),Height Range (cm),Calories Burned,Body Part,Type of Muscle,Sets,Reps per Set
1,Incline Dumbbell Press,1,1,"The Incline dumbbell press is a strength exercise focusing on the Upper Chest. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Chest,Upper Chest,3-4,8-12
2,Cable Crossover Row,2,2,"The Incline cable crossovers is a strength exercise focusing on the Upper Chest. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Back,Upper Back,3-4,10-15
3,Decline Dumbbell Bench Press,3,3,"The Decline dumbbell press is a strength exercise focusing on the Lower Chest. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Chest,Lower Chest,3-4,8-12
4,Decline Dumbbell Chest Fly,4,4,"The Decline dumbbell flyes is a strength exercise focusing on the Lower Chest. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Chest,Lower Chest,3-4,10-15
5,Chest Fly Machine,5,5,"The Chest flyes is a strength exercise focusing on the Chest Isolation. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Chest,Chest Isolation,3-4,10-15
6,Dumbbell Fly,6,6,"The Dumbbell flyes is a strength exercise focusing on the Chest Isolation. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Chest,Chest Isolation,3-4,10-15
7,Pull Up,7,7,"The Pull-ups is a strength exercise focusing on the Upper. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Back,Lats,3-4,8-12
8,Bent Over Row,8,8,"The Barbell rows is a strength exercise focusing on the Upper. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Back,Lats,3-4,8-12
9,Hyperextension,9,9,"The Hyperextensions is a strength exercise focusing on the Lower. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Back,Lower Back,3-4,10-15
10,Barbell Curl,10,10,"The Barbell curls is a strength exercise focusing on the Biceps. It is designed to enhance muscle size and strength through repeated contractions at a controlled pace, promoting both hypertrophy and endurance in the targeted muscle group.","{""min"": 18, ""max"": 65}",All,"{""min"": 50, ""max"": 100}","{""min"": 150, ""max"": 200}",100-300,Arms,Outer Bicep,3-4,8-12
